target_D,series_code,x,y,count,marker_size,aggregate_sha256
0.25,0,1.3724609610075626e-12,5.4638654988185509e-06,3,0.56176914536239786,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,0,2.5852348395621942e-12,5.4638654988185509e-06,2,0.5045584412271571,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,0,4.8696752516586312e-12,1.0292005271944296e-05,5,0.65249223594996208,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,0,9.1727593538977839e-12,1.0292005271944296e-05,6,0.69090815370097203,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,0,9.1727593538977839e-12,1.9386526359522097e-05,2,0.5045584412271571,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,0,1.7278259805078628e-11,1.9386526359522097e-05,10,0.81920997883030833,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,0,1.7278259805078628e-11,3.6517412725483845e-05,1,0.42999999999999999,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,0,3.2546178349804597e-11,1.9386526359522097e-05,5,0.65249223594996208,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,0,3.2546178349804597e-11,3.6517412725483845e-05,8,0.75911688245431419,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,0,6.1305579214982141e-11,3.6517412725483845e-05,8,0.75911688245431419,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,0,6.1305579214982141e-11,6.878599123088089e-05,2,0.5045584412271571,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,0,1.1547819846894582e-10,3.6517412725483845e-05,7,0.72623523599162632,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,0,1.1547819846894582e-10,6.878599123088089e-05,8,0.75911688245431419,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,0,2.17520403401952e-10,6.878599123088089e-05,14,0.92349832961930944,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,0,2.17520403401952e-10,0.00012956866975170203,7,0.72623523599162632,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
